x,y,z
691065.3119853417,5336038.8477936555,-24
691065.4550678481,5336039.214280453,-24
691065.5977321576,5336039.579612387,-24
691065.7400851714,5336039.944051825,-24
691065.8822337909,5336040.307861145,-24
691066.0243265702,5336040.671409266,-24
691066.1667115988,5336041.035575191,-24
691066.309213745,5336041.399899507,-24
691066.4519406442,5336041.764646387,-24
691066.5949999318,5336042.130080005,-24
691066.738499243,5336042.496464534,-24
691066.8825462129,5336042.864064147,-24
691067.0273123268,5336043.2333058305,-24
691067.1729796361,5336043.6046431335,-24
691067.3195201163,5336043.977994082,-24
691067.4670418497,5336044.353623943,-24
691067.6120591117,5336044.722653117,-24
691067.7534946055,5336045.082345141,-24
691067.8920013079,5336045.434372122,-24
691068.035347519,5336045.798471739,-24
691068.1830090444,5336046.173291432,-24
691068.3283722282,5336046.542042606,-24
691068.4718881645,5336046.905887124,-24
691068.6140079469,5336047.265986856,-24
691068.7551826698,5336047.623503667,-24
691068.896460689,5336047.981110896,-24
691069.0387052835,5336048.341011301,-24
691069.181374692,5336048.701853703,-24
691069.3249356238,5336049.064840189,-24
691069.4698547879,5336049.431172841,-24
691069.6165988934,5336049.802053749,-24
691069.7612243588,5336050.16754003,-24
691069.8977882742,5336050.51263736,-24
691070.036922152,5336050.864230484,-24
691070.1789674475,5336051.223198877,-24
691070.3242656155,5336051.590422011,-24
691070.4731581112,5336051.966779359,-24
691070.6259863898,5336052.353150394,-24
691070.7679080074,5336052.712016102,-24
691070.9010532451,5336053.048755486,-24
691071.0375342423,5336053.3940020045,-24
691071.1775446406,5336053.748254412,-24
691071.3212780827,5336054.11201147,-24
691071.4689282103,5336054.48577193,-24
691071.6206886659,5336054.870034554,-24
691071.7767530915,5336055.265298095,-24
691071.8932879879,5336055.560513325,-24
691071.947604059,5336055.698130718,-24
691072.0024463449,5336055.837093993,-24
691072.057822092,5336055.977421812,-24
691072.1444121755,5336056.196857994,-24
691072.2726967566,5336056.521869162,-24
691072.405061694,5336056.857111359,-24
691072.5414315243,5336057.202396599,-24
691072.6817307847,5336057.557536897,-24
691072.8258840117,5336057.922344268,-24
691072.9738157423,5336058.296630726,-24
691073.1254505133,5336058.680208289,-24
691073.2807128618,5336059.072888969,-24
691073.4395273244,5336059.474484784,-24
691073.601818438,5336059.884807745,-24
691073.7675107396,5336060.303669869,-24
691073.936528766,5336060.730883172,-24
691074.1087970538,5336061.166259668,-24
691074.2842401402,5336061.609611372,-24
691074.4627825618,5336062.060750299,-24
691074.6443488557,5336062.519488464,-24
691074.8288635586,5336062.985637882,-24
691075.0162512073,5336063.459010569,-24
691075.2064363388,5336063.939418539,-24
691075.3958272686,5336064.41779258,-24
691075.5246715266,5336064.74322049,-24
691075.6546493004,5336065.071501105,-24
691075.7857388429,5336065.402580251,-24
691075.9179184074,5336065.736403755,-24
691076.0511662466,5336066.072917442,-24
691076.185460614,5336066.4120671395,-24
691076.3207797625,5336066.753798676,-24
691076.4571019451,5336067.098057874,-24
691076.5944054147,5336067.444790564,-24
691076.7326684247,5336067.79394257,-24
691076.8718692282,5336068.14545972,-24
691077.0119860779,5336068.49928784,-24
691077.152997227,5336068.855372757,-24
691077.2948809287,5336069.213660296,-24
691077.437615436,5336069.574096286,-24
691077.5811790021,5336069.936626552,-24
691077.7255498797,5336070.301196921,-24
691077.8707063221,5336070.667753219,-24
691078.0166265824,5336071.036241273,-24
691078.1632889136,5336071.406606912,-24
691078.3106715688,5336071.778795958,-24
691078.4587528011,5336072.15275424,-24
691078.6075108632,5336072.528427584,-24
691078.7569240088,5336072.9057618175,-24
691078.9069704905,5336073.284702766,-24
691079.0576285616,5336073.665196257,-24
691079.208876475,5336074.047188116,-24
691079.3606924837,5336074.430624171,-24
691079.5130548411,5336074.815450246,-24
691079.6659418,5336075.201612172,-24
691079.8193316135,5336075.589055771,-24
691079.9732025345,5336075.977726872,-24
691080.1275328165,5336076.367571301,-24
691080.2823007122,5336076.758534884,-24
691080.4374844749,5336077.150563449,-24
691080.5930623575,5336077.543602821,-24
691080.746623023,5336077.931561594,-24
691080.8897536267,5336078.293184097,-24
691081.0331619028,5336078.655522647,-24
691081.1768311454,5336079.018535632,-24
691081.3207446485,5336079.382181432,-24
691081.4648857063,5336079.746418433,-24
691081.6092376123,5336080.111205017,-24
691081.753783661,5336080.476499572,-24
691081.8985071462,5336080.842260477,-24
691082.0433913615,5336081.208446118,-24
691082.1884196014,5336081.575014881,-24
691082.3335751598,5336081.941925147,-24
691082.4788413304,5336082.309135299,-24
691082.6242014074,5336082.676603724,-24
691082.7696386849,5336083.044288807,-24
691082.9151364567,5336083.412148926,-24
691083.0606780167,5336083.78014247,-24
691083.206246659,5336084.148227822,-24
691083.3518256777,5336084.516363365,-24
691083.4973983667,5336084.884507483,-24
691083.6429480198,5336085.252618561,-24
691083.7884579313,5336085.620654982,-24
691083.9339113949,5336085.988575129,-24
691084.0792917048,5336086.356337387,-24
691084.2245821549,5336086.723900141,-24
691084.3697660391,5336087.091221774,-24
691084.5148266515,5336087.458260668,-24
691084.6597472861,5336087.82497521,-24
691084.8045112367,5336088.191323782,-24
691084.9491017975,5336088.557264769,-24
691085.0935022626,5336088.922756555,-24
691085.2376959256,5336089.287757522,-24
691085.3816660807,5336089.652226056,-24
691085.5253960218,5336090.01612054,-24
691085.668869043,5336090.379399358,-24
691085.8120684383,5336090.742020895,-24
691085.9549775014,5336091.103943532,-24
691086.0975795266,5336091.465125657,-24
691086.2398578078,5336091.825525651,-24
691086.381795639,5336092.185101898,-24
691086.5233763142,5336092.5438127825,-24
691086.6791816672,5336092.938610259,-24
691086.8357286012,5336093.335337541,-24
691086.9917672678,5336093.7308288,-24
691087.1472746821,5336094.125026778,-24
691087.3022278592,5336094.5178742185,-24
691087.4566038143,5336094.909313863,-24
691087.6103795627,5336095.299288457,-24
691087.7635321193,5336095.687740741,-24
691087.9160384998,5336096.074613459,-24
691088.0678757188,5336096.459849353,-24
691088.2190207917,5336096.843391167,-24
691088.3694507339,5336097.225181643,-24
691088.5191425601,5336097.605163523,-24
691088.6680732861,5336097.983279552,-24
691088.8162199265,5336098.359472473,-24
691088.9635594968,5336098.733685026,-24
691089.1100690119,5336099.105859957,-24
691089.2557254873,5336099.475940008,-24
691089.4005059379,5336099.843867919,-24
691089.5443873791,5336100.209586438,-24
691089.687346826,5336100.573038304,-24
691089.8293612935,5336100.934166263,-24
691089.9704077973,5336101.292913054,-24
691090.1104633522,5336101.649221422,-24
691090.2495049735,5336102.003034111,-24
691090.3875096764,5336102.354293861,-24
691090.5244544761,5336102.702943418,-24
691090.6603163874,5336103.048925523,-24
691090.7950724261,5336103.392182918,-24
691090.9286996069,5336103.732658349,-24
691091.0611749451,5336104.070294556,-24
691091.192475456,5336104.405034283,-24
691091.3225781546,5336104.736820274,-24
691091.4514600562,5336105.06559527,-24
691091.579098176,5336105.391302015,-24
691091.705469529,5336105.713883251,-24
691091.8833608888,5336106.168166431,-24
691092.0781850709,5336106.665961137,-24
691092.2695892174,5336107.155312032,-24
691092.4574815647,5336107.6359905265,-24
691092.6417703497,5336108.107768029,-24
691092.822363809,5336108.570415949,-24
691092.9991701791,5336109.023705699,-24
691093.1720976967,5336109.467408686,-24
691093.3410545985,5336109.901296319,-24
691093.5059491211,5336110.325140012,-24
691093.666689501,5336110.738711172,-24
691093.823183975,5336111.141781208,-24
691093.9753407798,5336111.534121532,-24
691094.123068152,5336111.915503552,-24
691094.2662743281,5336112.28569868,-24
691094.4048675449,5336112.644478323,-24
691094.538756039,5336112.991613893,-24
691094.6678480469,5336113.326876798,-24
691094.7811280332,5336113.621590834,-24
691094.83169216,5336113.753313284,-24
691094.8819183013,5336113.884264769,-24
691094.931807695,5336114.014446677,-24
691094.9813615786,5336114.143860397,-24
691095.1213954958,5336114.510150454,-24
691095.2676778003,5336114.893706655,-24
691095.4109148864,5336115.270197483,-24
691095.5511419382,5336115.639662446,-24
691095.688394139,5336116.002141051,-24
691095.8227066728,5336116.357672806,-24
691095.9541147229,5336116.706297217,-24
691096.0916536966,5336117.072010885,-24
691096.2375005971,5336117.460728555,-24
